Timestamp,Yoshingiz / Возраст:,Jinsingiz / Пол:,Yashash hududingiz / Район проживания:,Siyosiy qarashlaringiz / Ваши политические взгляды:,Kasbingiz yoki O'qish sohangiz (yo'nalishingiz) / Ваша профессия или область (cпециальность) обучения:,Eng yuqori olgan (yokida hozir olayotgan) ilmiy darajangiz / Самая высокая полученная (или же получаемая) вами учёная степень:,Oylik daromadingiz (ixtiyoriy) / Ваш ежемесячный доход (необязательно):,Ijtimoiy tarmoqlardagi faolligizni baholang / Оцените свою активность в социальных сетях:,Qanday hududda yashaysiz / В каком районе вы живете:,"O‘zingizni shaxsiyat jihatidan qanday tasvirlaysiz? 
Introvert - yolg‘izlikni afzal ko‘radi, odamlar bilan ko‘p muloqot qilmaydi, mustaqil ishlashni yoqtiradi.
Ekstrovert - ko‘p odamlar bilan suhbatni yoqtiradi, jamoada bo‘lishdan quvvat oladi.
Ambivert - ikkalasidan ham xususiyatlar bor, ba'zida ijtimoiy, ba'zida sokin
/ Как бы вы описали себя с точки зрения личности?
Интроверт - предпочитает одиночество, избегает больших групп, любит работать в одиночку)
Экстраверт - любит общаться, получает энергию от взаимодействия с другими
Амбиверт - сбалансированная личность, иногда общителен, иногда замкнут","Keyingi bo'limda siz uchun savollar taqdim etiladi. Sizdan so'raladigan yagona narsa ularga vijdonan javob berish. Anonimlik ta'minlangan!

В следующем разделе вы найдёте вопросы. От вас требуется только честно на них ответить. Анонимность гарантируется!","Har bir inson kundalik hayotida chiqindilarni kamaytirish, qayta ishlash va resurslarni tejash orqali atrof-muhitni asrashga bevosita javobgar bo‘lishi kerak. 

Каждый человек должен нести прямую ответственность за защиту окружающей среды путем сокращения отходов, переработки отходов и сохранения ресурсов в своей повседневной жизни.","Bolalar o‘rganish, texnologiyalardan foydalanish va dars tayyorlash kabi faoliyatlar uchun ko‘proq vaqtni uyida, ekran oldida o‘tkazishi zarur. Tashqi muhitda kamroq vaqt sarflashi lozim. 

Детям необходимо проводить больше времени дома перед экранами, занимаясь такими видами деятельности, как учёба, использование технологий и подготовка к урокам. Им следует меньше времени проводить на улице","Ijtimoiy tarmoqlar shaxsiy hayotni oshkora qilishi, yolg‘on ma’lumotlar tarqalishi va ruhiy salomatlikka ta’siri sababli jamiyatga foydadan ko‘ra zarar ko‘proq yetkazadi.

Социальные сети приносят обществу больше вреда, чем пользы, поскольку они выставляют напоказ личную жизнь, распространяют ложную информацию и оказывают влияние на психическое здоровье","Ayol sportchilarning maoshi sport sohasidagi mehnati, darajasi va natijalari bir xil bolgan erkaklarning maoshiga teng bo'lishi kerak (ya'ni, ayol va erkak sportchilarga teng mehnat haqqi to'lanishi lozim).

Заработная плата женщин-спортсменок должна быть равна заработной плате мужчин с таким же уровнем работы, уровнем и результатами в спорте (т.е. спортсмены и спортсмены-мужчины должны получать одинаковую сумму денег)","Qiz farzand 19 yoshga yetganida turmush qurishga tayyor bo‘ladi. 
Девушка готова выйти замуж, когда ей исполняется 19 лет."
7/17/2025 23:41:24,20,Male,Republic of Karakalpakstan,Liberal,Engineering,Bachelor's degree  , 300-700,4,City,Extrovert,Tushunarli / Понятно,Agree,Disagree,Neutral,Disagree,Neutral
7/17/2025 23:43:01,19,Female,Republic of Karakalpakstan,Liberal,Tibbiyot ,Bachelor's degree  ,0,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/17/2025 23:43:34,21,Male,Tashkent City,Liberal,Xalqaro Munosabatlar,Bachelor's degree  ,0,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/17/2025 23:44:27,18,Male,Republic of Karakalpakstan,Liberal,Mentor,School,0,5,Remote area,Extrovert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/17/2025 23:44:37,17,Male,Republic of Karakalpakstan,Liberal,Tibbiyot,School,0,5,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Neutral
7/17/2025 23:48:08,18,Female,Republic of Karakalpakstan,Liberal,Maktab,Bachelor's degree  ,0,1,Near the city,Extrovert,Tushunarli / Понятно,Agree,Neutral,Agree,Neutral,Disagree
7/17/2025 23:51:31,18,Female,Fergana,Liberal,"Siyosat, filasofiya, Economics",Bachelor's degree  ,0,4,Remote area,Extrovert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Disagree
7/17/2025 23:54:28,21,Female,Tashkent City,Liberal,Kimyo Engineeringi,Bachelor's degree  , 300-700,4,Near the city,Ambivert,Tushunarli / Понятно,Disagree,Disagree,Disagree,Agree,Disagree
7/17/2025 23:54:31,21,Male,Republic of Karakalpakstan,Neutral,Mexanika Engineeringi,Bachelor's degree  ,0,3,City,Introvert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Neutral
7/17/2025 23:57:35,18,Male,Tashkent Region,Liberal,Economics ,School, 100-300,3,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Agree,Neutral,Disagree
7/18/2025 0:01:12,17,Male,Fergana,Liberal,Economics ,School,0,5,Remote area,Introvert,Tushunarli / Понятно,Agree,Neutral,Agree,Disagree,Disagree
7/18/2025 0:01:39,15,Male,Republic of Karakalpakstan,Liberal,O'quvchi,School, 100-300,3,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Neutral
7/18/2025 0:04:49,16,Male,Fergana,Liberal,O’quvchi,School,0,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Neutral
7/18/2025 0:04:54,18,Male,Khorezm,Depending on the situation,Economics,School,,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Neutral
7/18/2025 0:14:57,48,Female,Fergana,Neutral,O'qituvchi,Master's degree, 300-700,3,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Disagree
7/18/2025 0:30:51,18,Male,Republic of Karakalpakstan,Neutral,Доктор,School, 100-300,5,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Neutral,Neutral,Neutral
7/18/2025 0:33:17,18,Male,Khorezm,Neutral,Engineering,School,0,2,Remote area,Ambivert,Tushunarli / Понятно,Agree,Neutral,Agree,Neutral,Neutral
7/18/2025 0:38:25,18,Male,Republic of Karakalpakstan,,Engineering ,School,,3,City,Ambivert,Tushunarli / Понятно,Neutral,Disagree,Neutral,Neutral,Neutral
7/18/2025 0:50:54,20,Male,Tashkent City,Liberal,Amaliy matematika ,Bachelor's degree  , 300-700,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/18/2025 0:56:35,21,Male,Tashkent City,Neutral,IT,College / Lyceum,0,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Disagree
7/18/2025 1:10:38,21,Male,Namangan,Neutral,IT,Bachelor's degree  ,0,1,City,Introvert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/18/2025 3:41:29,18,Male,Tashkent City,Liberal,Xalqaro Munosabatlar,School, 300-700,4,City,Extrovert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/18/2025 7:05:08,49,Female,Fergana,Neutral,O‘qituvchi,Master's degree, 300-700,2,Near the city,Extrovert,Tushunarli / Понятно,Agree,Neutral,Neutral,Agree,Disagree
7/18/2025 7:06:25,17,Female,Republic of Karakalpakstan,Liberal,Economics,School,,1,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Disagree,Disagree
7/18/2025 7:07:36,25,Male,Fergana,Conservative,Doktor,Bachelor's degree  , 700-1000,2,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/18/2025 7:09:11,15,Female,Fergana,Liberal,Gumanitar,School,0,3,City,Extrovert,Tushunarli / Понятно,Agree,Neutral,Neutral,Agree,Disagree
7/18/2025 7:19:47,18,Male,Fergana,Neutral,Economics,School,0,2,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Agree
7/18/2025 7:22:08,17,Female,Fergana,Liberal,Xalqaro munosabatlar,School,0,2,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/18/2025 7:24:14,18,Male,Fergana,Liberal,IT,School,0,4,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Disagree
7/18/2025 7:26:50,18,Male,Fergana,Neutral,IT,School,0,4,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Neutral
7/18/2025 7:30:39,17,Female,Republic of Karakalpakstan,Liberal,ekonomfak,School,0,2,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/18/2025 7:31:30,20,Male,Republic of Karakalpakstan,Liberal,Economics ,Bachelor's degree  ,0,2,Near the city,Introvert,Tushunarli / Понятно,Agree,Disagree,Neutral,Disagree,Disagree
7/18/2025 7:32:16,18,Female,Fergana,Liberal,Ingliz tili,School,0,3,Remote area,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Neutral,Disagree
7/18/2025 7:57:47,27,Male,Fergana,Liberal,IT,Bachelor's degree  , 2000-5000,2,City,Ambivert,Tushunarli / Понятно,Agree,Agree,Agree,Neutral,Disagree
7/18/2025 8:32:28,17,Male,Republic of Karakalpakstan,Liberal,Oquvchi,School,0,3,City,Extrovert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Agree
7/18/2025 8:32:48,16,Male,Andijan,Liberal,IT,School,0,3,City,Ambivert,Tushunarli / Понятно,Neutral,Disagree,Neutral,Neutral,Disagree
7/18/2025 8:36:17,16,Male,Fergana,Liberal,O’quvchi,School,0,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Neutral
7/18/2025 8:52:41,18,Male,Fergana,Liberal,IT ,School,0,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Disagree,Disagree
7/18/2025 8:57:38,21,Female,Tashkent City,Liberal,Finance,Bachelor's degree  , 1000-2000,3,City,Introvert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/18/2025 9:05:14,21,Female,Fergana,Liberal,Talaba,Bachelor's degree  , 100-300,3,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Disagree
7/18/2025 9:17:11,16,Male,Republic of Karakalpakstan,Neutral,Aniq fanlar,School,0,2,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/18/2025 9:29:39,14,Female,Republic of Karakalpakstan,Neutral,Maktabda matematika VA ingliz tiliga ,School,,4,Near the city,Ambivert,Tushunarli / Понятно,Agree,Agree,Disagree,Agree,Disagree
7/18/2025 10:32:54,12,Male,Tashkent City,Liberal,Aniq Fanlar,School,0,4,City,Extrovert,Tushunarli / Понятно,Agree,Neutral,Agree,Neutral,Neutral
7/18/2025 12:14:43,17,Female,Republic of Karakalpakstan,Neutral,Engineering,School,0,2,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Neutral
7/18/2025 12:52:41,18,Male,Fergana,Neutral,Economics ,School,0,3,City,Introvert,Tushunarli / Понятно,Neutral,Disagree,Agree,Disagree,Neutral
7/18/2025 12:55:37,19,Female,Tashkent City,Neutral,IT,Bachelor's degree  , 300-700,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/18/2025 12:57:08,19,Male,Tashkent City,Neutral,IT,Bachelor's degree  ,0,3,City,Ambivert,Tushunarli / Понятно,Neutral,Disagree,Neutral,Agree,Disagree
7/18/2025 12:59:29,17,Female,Syrdarya,Liberal,O'quvchi,School,0,3,Remote area,Extrovert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Disagree
7/18/2025 13:02:06,27,Female,Tashkent City,Neutral,Психология ,Bachelor's degree  , 1000-2000,5,City,Extrovert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/18/2025 13:21:06,20,Male,Tashkent City,Neutral,IT ,Bachelor's degree  , 300-700,2,Near the city,Introvert,Tushunarli / Понятно,Disagree,Neutral,Neutral,Neutral,Disagree
7/18/2025 13:58:52,18,Male,Khorezm,Neutral,IT,Bachelor's degree  ,0,2,Remote area,Introvert,Tushunarli / Понятно,Agree,Neutral,Agree,Neutral,Disagree
7/18/2025 14:17:12,25,Female,Tashkent City,Neutral,Engineering,Master's degree, 1000-2000,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Disagree
7/18/2025 14:18:03,28,Female,Tashkent City,Neutral,Economics ,Master's degree, 2000-5000,3,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Disagree,Agree,Disagree
7/18/2025 14:25:43,20,Female,Tashkent City,Liberal,Профессия: продукт аналитик. Специальность в универе: предпринимательство,Bachelor's degree  , 100-300,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Neutral
7/18/2025 14:31:29,28,Female,Tashkent City,Liberal,IT,Bachelor's degree  , 1000-2000,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/18/2025 14:34:42,18,Female,Tashkent City,Liberal,Engineering ,College / Lyceum,0,1,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Neutral,Agree,Disagree
7/18/2025 14:42:58,22,Male,Tashkent City,Neutral,Engineering,Bachelor's degree  , 300-700,2,City,Introvert,Tushunarli / Понятно,Agree,Disagree,Disagree,Neutral,Disagree
7/18/2025 14:45:45,38,Male,Tashkent City,Conservative,Политолог,Master's degree, 1000-2000,2,City,Extrovert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Neutral
7/18/2025 14:47:49,16,Female,Tashkent City,,школьница,School,0,5,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Agree
7/18/2025 15:05:17,25,Male,Tashkent City,Liberal,IT,School, 2000-5000,2,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Neutral
7/18/2025 15:06:54,25,Male,Tashkent City,Neutral,IT,College / Lyceum,,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/18/2025 15:29:44,17,Male,Fergana,Liberal,IT ,School,0,4,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Disagree,Agree,Agree
7/18/2025 15:48:52,25,Female,Tashkent City,Liberal,Web backend IT ,College / Lyceum, 700-1000,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Disagree
7/18/2025 15:50:25,43,Female,Fergana,Liberal,O'qituvchi,Bachelor's degree  , 300-700,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Disagree,Disagree
7/18/2025 16:27:56,40,Female,Fergana,Liberal,O‘qituvchi,School, 10000+,1,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Agree
7/18/2025 16:34:32,17,Male,Tashkent Region,Liberal,Engineering ,School, 100-300,1,City,Extrovert,Tushunarli / Понятно,Agree,Neutral,Neutral,Neutral,Disagree
7/18/2025 17:58:41,18,Male,Bukhara,Conservative,Engineering,School, 300-700,5,City,Ambivert,Tushunarli / Понятно,Neutral,Agree,Agree,Disagree,Agree
7/18/2025 18:27:09,18,Male,Khorezm,Neutral,Economicsiya oʻqish industrial management,School, 100-300,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Neutral,Disagree
7/18/2025 18:41:01,17,Male,Fergana,Liberal,IELTS Va SAT òqiyman ,School,0,3,Remote area,Ambivert,Tushunarli / Понятно,Agree,Neutral,Disagree,Agree,Neutral
7/18/2025 20:12:07,28,Male,Tashkent Region,Liberal,Economics,Master's degree, 1000-2000,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/18/2025 20:36:44,49,Female,Fergana,Liberal,Oʻqituvchi,Master's degree, 300-700,1,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Disagree,Disagree
7/18/2025 20:42:03,50,Female,Andijan,Liberal,Pedagog,Master's degree, 100-300,1,Near the city,Extrovert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/18/2025 20:48:43,22,Female,Tashkent City,Neutral,IT,Bachelor's degree  , 700-1000,3,City,Ambivert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Neutral
7/18/2025 20:51:42,22,Male,Fergana,Liberal,Economics,College / Lyceum, 100-300,5,Near the city,Extrovert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/18/2025 20:52:32,19,Male,Tashkent City,,IT,Bachelor's degree  , 300-700,3,City,Extrovert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/18/2025 21:44:41,17,Female,Fergana,Liberal,Filologiya ,School,0,1,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Disagree
7/18/2025 21:57:13,27,Female,Fergana,Liberal,O'qituvchi,Bachelor's degree  , 300-700,4,Near the city,Extrovert,Tushunarli / Понятно,Agree,Disagree,Disagree,Disagree,Disagree
7/18/2025 22:03:33,49,Female,Fergana,Neutral,Педагог,Master's degree, 300-700,3,City,Ambivert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Agree
7/18/2025 22:05:09,38,Female,Fergana,Liberal,Pedagog,Bachelor's degree  , 300-700,5,Near the city,Introvert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/18/2025 22:08:23,38,Female,Fergana,Liberal,O'qituvchi,Bachelor's degree  , 300-700,5,Near the city,Introvert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Disagree
7/18/2025 22:41:31,18,Female,Fergana,Neutral,IT,School,0,5,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Neutral
7/19/2025 8:54:34,22,Female,Fergana,Liberal,Economics,Bachelor's degree  ,0,3,Near the city,Extrovert,Tushunarli / Понятно,Agree,Agree,Agree,Agree,Agree
7/19/2025 9:12:47,50,Female,Fergana,Liberal,Oʻqituvchi ,Master's degree, 300-700,3,Remote area,Extrovert,Tushunarli / Понятно,Agree,Neutral,Agree,Agree,Disagree
7/19/2025 10:01:14,17,Female,Namangan,Liberal,Economics,School,0,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Disagree,Agree,Disagree
7/19/2025 12:12:36,22,Female,Tashkent Region,Liberal,IT ,Bachelor's degree  , 700-1000,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Neutral
7/19/2025 17:50:22,16,Female,Republic of Karakalpakstan,Liberal,Matematika Angliskiy,School,0,3,Near the city,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/19/2025 18:27:12,20,Female,Other country,Neutral,Economics,Bachelor's degree  ,0,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/19/2025 18:54:55,18,Male,Other country,Conservative,IT,School,0,1,City,Introvert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Neutral
7/19/2025 19:30:29,49,Female,Fergana,Neutral,O'qituvchi,Master's degree, 100-300,1,City,Introvert,Tushunarli / Понятно,Agree,Disagree,Agree,Agree,Disagree
7/19/2025 19:48:25,18,Female,Other country,Liberal,Economics ,School,,4,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Neutral,Agree,Disagree
7/20/2025 9:14:26,16,Male,Tashkent Region,Liberal,Going to study for software engineer.,School,0,4,Near the city,Introvert,Tushunarli / Понятно,Agree,Neutral,Neutral,Disagree,Neutral
7/21/2025 10:06:04,21,Female,Tashkent City,Liberal,IT,Bachelor's degree  , 1000-2000,3,City,Ambivert,Tushunarli / Понятно,Agree,Disagree,Agree,Neutral,Neutral
